Year,Value,Jan_16,Jan_17,Jan_18,Jan_19,Jan_20,Jan_23,Jan_24,Jan_25,Jan_26,Jan_27
"F(1, 1)",11,0.02795826,0.02693018,0.02576743,0.02569003,0.02679358,0.02741242,0.0279701,0.02713075,0.02683789,0.02815799
"F(1, 2)",12,0.02766016,0.02676932,0.02589066,0.02532143,0.02613442,0.02666045,0.02684863,0.026033,0.02584068,0.02699237
"F(1, 3)",13,0.02583005,0.0252242,0.02374659,0.02346558,0.02473387,0.02494358,0.02491024,0.02454794,0.02470824,0.02560773
"F(1, 4)",14,0.02521869,0.02476174,0.02348371,0.02345572,0.02484235,0.02499477,0.02489626,0.02464156,0.02491639,0.02579853
